clientes_idclientes,producto_idproducto,tipo_entrega,estatus,fecha_registro
56,607,piso,lista,2021-01-25 10:09
70,206,domicilio,en curso,2021-09-17 5:51
78,745,piso,lista,2020-06-14 10:55
41,706,domicilio,en curso,2021-09-22 8:48
23,283,piso,lista,2021-01-28 8:36
35,328,domicilio,lista,2019-07-13 5:56
35,593,domicilio,en curso,2021-05-11 8:15
22,428,domicilio,lista,2020-08-07 7:36
16,21,piso,en curso,2021-02-04 11:11
63,634,piso,lista,2019-02-22 1:46
65,463,piso,lista,2021-09-02 4:28
89,711,domicilio,en curso,2019-01-03 6:36
34,404,piso,en curso,2019-09-04 8:53
19,275,domicilio,lista,2019-03-14 8:50
1,781,domicilio,lista,2021-07-09 1:45
19,69,piso,lista,2021-09-08 10:25
16,874,piso,lista,2019-11-04 4:54
82,213,domicilio,en curso,2021-08-14 8:27
31,805,piso,lista,2020-04-26 1:03
7,385,piso,lista,2021-07-08 5:25
46,107,domicilio,en curso,2021-02-14 9:00
19,288,domicilio,lista,2020-02-28 8:56
45,542,piso,lista,2020-07-20 12:13
36,756,domicilio,lista,2021-10-16 8:23
52,603,domicilio,lista,2019-09-23 3:30
46,732,domicilio,lista,2019-12-11 8:02
4,248,domicilio,en curso,2019-09-13 5:26
49,61,piso,en curso,2020-08-04 12:28
9,611,domicilio,lista,2019-07-20 1:41
54,821,domicilio,en curso,2019-09-04 1:32
93,529,piso,lista,2019-12-16 5:47
5,878,piso,lista,2021-05-26 7:35
82,224,piso,lista,2019-07-26 1:43
59,135,piso,lista,2019-10-09 4:46
4,996,domicilio,lista,2021-03-21 6:50
56,874,domicilio,en curso,2019-10-11 10:56
17,898,piso,en curso,2020-02-13 1:33
77,895,domicilio,en curso,2019-01-23 4:32
47,363,domicilio,lista,2020-08-19 7:57
50,917,piso,lista,2019-06-13 12:46
26,265,domicilio,en curso,2020-03-31 10:44
64,621,domicilio,lista,2020-09-01 5:57
10,631,piso,lista,2021-03-19 1:34
71,287,piso,lista,2019-11-19 5:05
53,592,domicilio,lista,2020-02-16 1:05
43,618,domicilio,en curso,2019-10-13 8:34
79,798,domicilio,en curso,2020-09-02 10:08
16,884,domicilio,lista,2021-01-27 10:03
42,281,piso,lista,2019-09-17 7:02
80,901,domicilio,en curso,2019-09-20 2:17
13,147,domicilio,lista,2020-07-09 5:02
95,258,domicilio,en curso,2019-01-06 7:06
48,64,domicilio,lista,2020-07-27 7:12
68,657,piso,en curso,2021-10-13 11:59
15,137,piso,en curso,2021-04-23 12:07
19,261,piso,en curso,2020-01-28 1:07
36,738,piso,en curso,2020-06-19 3:08
78,921,piso,lista,2021-11-19 7:13
73,131,domicilio,lista,2019-03-13 5:32
85,653,domicilio,lista,2019-09-07 2:48
76,893,piso,en curso,2020-01-24 5:41
66,170,piso,en curso,2019-03-07 12:34
55,413,domicilio,en curso,2021-08-27 4:47
63,650,piso,en curso,2020-10-07 8:55
50,222,piso,lista,2020-05-29 2:53
17,253,piso,lista,2019-05-27 9:43
35,82,piso,en curso,2020-08-11 1:04
80,93,piso,en curso,2021-02-17 11:58
30,487,piso,lista,2019-02-09 12:52
93,921,piso,en curso,2019-06-07 1:26
80,554,piso,en curso,2020-08-22 10:00
66,750,piso,en curso,2020-02-26 1:56
99,553,domicilio,lista,2020-09-15 1:39
73,723,domicilio,lista,2019-11-19 10:06
96,315,domicilio,en curso,2020-05-06 10:33
7,914,piso,lista,2021-09-29 8:09
7,143,piso,lista,2019-10-06 3:48
25,887,domicilio,en curso,2019-05-23 7:37
39,568,piso,lista,2021-07-25 7:25
37,212,domicilio,en curso,2021-09-11 7:41
17,789,domicilio,en curso,2019-09-26 3:22
87,720,piso,lista,2019-06-14 2:26
55,69,piso,lista,2019-03-19 6:04
4,966,domicilio,en curso,2021-05-08 7:02
55,60,piso,lista,2020-12-21 3:51
86,411,domicilio,lista,2020-11-29 10:07
12,791,piso,en curso,2019-01-17 8:44
60,377,piso,en curso,2021-08-14 2:02
8,315,piso,en curso,2021-06-26 12:52
11,441,piso,en curso,2021-04-22 6:13
4,882,piso,lista,2019-12-14 2:30
28,396,piso,en curso,2021-10-09 1:35
38,951,domicilio,lista,2019-07-01 4:51
69,468,piso,lista,2019-03-03 12:37
73,928,domicilio,en curso,2019-07-30 4:39
10,437,domicilio,lista,2019-07-01 9:42
57,791,piso,lista,2020-02-07 4:53
52,890,piso,lista,2020-07-11 3:21
63,67,domicilio,lista,2019-01-15 8:23
28,226,piso,lista,2021-09-26 2:44
88,744,piso,lista,2021-08-03 12:45
61,140,piso,lista,2020-01-26 8:45
5,609,piso,en curso,2021-04-26 8:46
11,715,domicilio,en curso,2021-09-02 4:20
44,253,domicilio,en curso,2019-04-24 10:56
1,264,piso,en curso,2021-03-16 1:01
87,870,domicilio,lista,2021-09-24 2:26
26,763,domicilio,en curso,2021-09-22 8:32
66,291,piso,en curso,2021-07-06 12:35
44,453,domicilio,en curso,2020-01-14 6:28
74,470,domicilio,en curso,2020-09-17 6:52
92,206,domicilio,en curso,2021-12-27 6:59
28,691,piso,lista,2020-01-31 2:35
7,313,piso,en curso,2020-02-27 7:34
68,340,domicilio,lista,2021-04-05 7:04
6,837,piso,lista,2021-01-05 7:04
2,615,domicilio,en curso,2021-08-06 3:15
13,676,piso,en curso,2021-01-08 4:53
100,450,domicilio,en curso,2020-09-02 10:03
13,170,domicilio,en curso,2021-09-30 5:42
58,98,domicilio,en curso,2020-08-06 1:08
34,123,domicilio,en curso,2019-06-04 12:49
7,863,piso,en curso,2021-07-26 1:36
65,95,domicilio,lista,2019-05-02 12:42
24,882,piso,lista,2020-07-24 2:37
56,611,domicilio,lista,2020-10-07 2:26
93,531,piso,en curso,2021-05-22 7:33
62,782,piso,en curso,2020-07-02 8:22
79,993,domicilio,lista,2020-05-16 10:14
12,343,domicilio,en curso,2019-03-14 3:17
33,442,piso,en curso,2021-10-14 2:52
19,653,piso,lista,2021-09-03 4:57
30,491,domicilio,en curso,2020-08-29 10:14
24,679,piso,lista,2021-12-20 5:32
19,661,domicilio,en curso,2021-04-23 7:37
7,363,piso,en curso,2021-09-27 10:29
88,682,domicilio,lista,2020-02-03 7:00
72,42,domicilio,en curso,2021-04-05 12:27
98,921,piso,lista,2021-08-02 3:53
6,908,domicilio,lista,2020-09-05 2:05
76,274,domicilio,lista,2021-03-08 9:23
60,129,domicilio,en curso,2020-07-28 11:58
18,751,piso,lista,2019-06-23 3:03
21,910,piso,en curso,2019-03-21 7:07
80,773,piso,lista,2021-01-21 12:28
89,867,domicilio,en curso,2020-01-16 12:30
96,225,domicilio,lista,2019-02-27 9:11
45,57,piso,en curso,2021-05-08 5:55
21,181,domicilio,en curso,2020-09-19 2:26
84,988,piso,en curso,2021-06-06 10:42
78,563,piso,en curso,2021-12-14 7:12
48,835,piso,lista,2020-07-08 7:57
38,481,domicilio,lista,2020-09-11 3:18
58,41,domicilio,en curso,2019-08-24 10:11
72,737,domicilio,en curso,2019-12-10 3:57
2,605,piso,lista,2019-11-26 2:10
68,427,piso,lista,2019-05-09 8:11
68,95,piso,lista,2021-05-28 2:26
56,119,domicilio,en curso,2019-10-08 5:10
51,905,piso,en curso,2021-01-28 9:56
65,258,piso,en curso,2021-05-28 4:58
3,4,piso,lista,2020-04-15 10:55
38,181,piso,lista,2019-08-22 9:52
100,748,domicilio,en curso,2019-02-22 2:48
13,667,piso,lista,2020-10-26 5:46
70,579,piso,lista,2019-02-08 8:42
66,381,piso,lista,2021-11-25 2:46
55,884,domicilio,lista,2020-12-29 4:57
13,337,piso,lista,2019-12-10 12:34
22,895,piso,lista,2021-12-12 2:42
28,416,piso,en curso,2020-03-02 5:22
79,589,domicilio,en curso,2020-08-03 5:59
8,175,domicilio,en curso,2021-04-11 4:29
11,522,domicilio,en curso,2021-04-06 7:50
54,536,domicilio,lista,2019-10-09 5:54
24,860,piso,lista,2019-08-22 12:55
69,473,domicilio,lista,2019-04-15 2:59
66,843,domicilio,en curso,2019-04-29 4:29
56,543,domicilio,en curso,2021-02-20 10:36
47,349,piso,lista,2021-02-19 8:02
22,358,piso,lista,2020-06-22 7:48
98,801,domicilio,en curso,2020-07-17 6:35
66,415,piso,lista,2019-09-18 5:52
80,45,piso,en curso,2019-05-24 2:57
92,806,piso,lista,2019-07-19 7:38
11,643,piso,lista,2020-04-21 12:58
7,541,piso,lista,2021-10-28 10:51
3,661,piso,en curso,2021-04-05 12:52
9,565,piso,lista,2021-03-03 8:35
57,778,piso,en curso,2020-05-28 9:42
92,359,domicilio,en curso,2021-03-04 5:42
6,453,domicilio,en curso,2019-11-07 5:35
47,603,piso,lista,2019-03-26 3:13
16,495,domicilio,lista,2019-09-26 2:22
100,125,domicilio,en curso,2019-02-25 5:22
5,591,domicilio,lista,2020-10-08 5:22
4,876,piso,en curso,2019-05-18 8:21
96,74,piso,lista,2021-02-07 2:44
100,306,domicilio,en curso,2019-02-02 5:01
71,55,domicilio,lista,2020-07-13 1:54
15,145,piso,lista,2019-07-30 5:02
70,367,domicilio,en curso,2019-03-18 6:07
68,799,piso,lista,2019-09-21 9:42
50,431,domicilio,en curso,2019-05-16 2:24
43,780,domicilio,en curso,2021-05-30 9:43
51,534,piso,lista,2021-11-25 4:27
33,965,piso,en curso,2020-02-02 12:28
91,362,domicilio,en curso,2019-10-06 10:12
17,689,domicilio,lista,2019-01-14 1:19
26,193,domicilio,en curso,2020-09-16 6:35
81,89,domicilio,en curso,2021-09-02 12:49
28,375,piso,lista,2020-11-21 5:23
30,177,domicilio,en curso,2021-08-03 3:41
37,787,piso,lista,2021-04-29 6:38
40,365,piso,en curso,2019-10-11 4:54
68,438,domicilio,lista,2020-01-25 12:59
67,33,piso,lista,2019-02-28 6:02
48,995,piso,en curso,2019-04-01 3:35
27,219,piso,lista,2019-12-06 3:19
17,587,domicilio,en curso,2021-09-03 7:20
19,895,piso,en curso,2019-05-17 7:31
77,919,domicilio,lista,2021-06-06 5:14
10,891,piso,lista,2019-04-27 12:08
100,530,piso,lista,2021-02-16 1:51
2,131,piso,en curso,2019-07-18 3:00
45,486,domicilio,lista,2020-10-25 11:35
24,144,domicilio,en curso,2020-03-25 6:28
65,870,piso,en curso,2021-07-22 3:08
79,217,domicilio,en curso,2019-04-14 7:07
5,436,domicilio,lista,2019-11-26 1:52
90,595,domicilio,lista,2019-12-30 3:42
15,102,piso,en curso,2019-05-14 3:38
69,875,piso,en curso,2021-06-23 9:07
73,275,piso,lista,2019-10-24 3:09
69,355,piso,en curso,2020-04-01 11:49
38,703,piso,en curso,2019-12-22 6:31
66,77,piso,lista,2019-12-05 5:02
57,546,piso,lista,2021-01-19 1:18
59,825,domicilio,en curso,2020-08-29 2:06
88,705,piso,en curso,2020-12-17 6:05
96,361,piso,lista,2021-07-16 5:18
19,813,piso,en curso,2019-02-28 3:40
13,225,domicilio,en curso,2019-05-19 10:55
88,218,domicilio,lista,2020-01-29 3:07
83,171,piso,en curso,2020-05-29 6:27
61,52,domicilio,lista,2020-03-04 1:44
70,251,piso,lista,2020-03-28 5:53
55,22,piso,en curso,2021-02-26 9:43
37,96,piso,lista,2021-05-08 11:58
60,365,piso,en curso,2020-01-25 3:36
73,292,domicilio,en curso,2021-08-24 11:57
55,749,piso,en curso,2021-12-06 2:00
55,988,piso,lista,2020-06-28 1:40
55,121,piso,lista,2019-02-27 6:57
68,826,piso,en curso,2021-02-19 2:55
38,441,piso,lista,2019-10-08 4:47
74,716,piso,en curso,2021-05-04 6:39
84,392,domicilio,en curso,2020-05-01 9:00
66,856,piso,en curso,2020-02-28 10:07
9,310,domicilio,lista,2019-07-06 8:31
4,956,piso,en curso,2019-11-15 2:22
73,666,domicilio,lista,2019-11-13 2:41
62,492,domicilio,lista,2019-11-12 10:11
17,658,domicilio,lista,2019-03-02 11:47
4,564,domicilio,lista,2019-10-07 6:51
56,191,piso,lista,2020-03-05 12:50
72,645,piso,lista,2019-08-02 1:17
65,849,domicilio,lista,2020-06-11 10:55
82,868,piso,en curso,2021-09-08 4:43
49,914,domicilio,lista,2021-12-14 11:45
3,402,piso,lista,2021-01-02 10:44
14,805,piso,lista,2019-12-14 6:25
98,505,piso,lista,2021-04-27 7:57
61,240,piso,en curso,2020-03-26 10:29
94,480,domicilio,lista,2019-04-30 9:27
35,67,domicilio,en curso,2020-05-28 1:15
31,998,piso,lista,2019-12-28 11:44
4,816,domicilio,en curso,2020-06-04 8:00
11,558,piso,en curso,2021-03-21 4:07
98,67,piso,en curso,2021-04-24 8:50
74,559,piso,en curso,2019-09-26 1:53
44,927,piso,lista,2020-01-27 4:50
91,360,piso,lista,2019-12-15 2:25
98,563,domicilio,lista,2021-09-22 6:09
2,960,piso,en curso,2019-09-13 10:48
62,566,piso,en curso,2019-06-06 2:05
49,47,domicilio,en curso,2019-10-03 12:20
62,22,piso,lista,2021-03-01 10:39
12,679,piso,lista,2021-02-15 7:30
21,34,domicilio,lista,2020-08-07 1:38
50,792,domicilio,en curso,2019-06-12 4:26
56,583,domicilio,lista,2021-06-15 3:31
57,910,domicilio,lista,2021-10-24 8:57
78,877,domicilio,lista,2020-08-20 1:38
11,336,piso,en curso,2021-09-19 6:01
36,5,piso,en curso,2021-11-03 7:32
60,945,domicilio,en curso,2019-09-02 2:05
45,336,domicilio,lista,2021-01-01 9:29
19,659,piso,en curso,2020-09-28 1:04
100,819,domicilio,en curso,2020-07-08 1:07
52,454,domicilio,lista,2021-02-20 3:57
44,730,domicilio,lista,2019-05-10 6:25
15,334,domicilio,en curso,2020-11-10 5:47
42,592,piso,en curso,2020-11-15 1:43
92,133,domicilio,en curso,2020-05-03 2:42
53,884,domicilio,en curso,2019-01-25 3:04
36,68,piso,lista,2021-06-09 7:32
8,302,piso,lista,2020-05-26 9:55
44,603,domicilio,en curso,2019-06-01 5:17
57,883,domicilio,lista,2019-04-15 2:38
12,253,piso,en curso,2019-01-16 3:09
16,919,domicilio,en curso,2020-09-15 5:26
46,452,piso,lista,2021-07-08 3:07
61,122,domicilio,en curso,2019-05-03 8:46
74,81,domicilio,en curso,2019-10-04 8:45
8,512,piso,en curso,2019-11-22 7:48
20,228,piso,lista,2021-05-15 3:14
5,563,piso,en curso,2019-12-10 7:37
64,765,domicilio,lista,2020-05-24 12:38
26,985,domicilio,lista,2019-03-12 8:37
21,794,domicilio,lista,2019-11-12 12:11
20,534,piso,en curso,2021-12-15 9:49
66,326,piso,lista,2021-11-17 1:54
55,774,domicilio,en curso,2020-08-21 8:12
87,11,piso,lista,2021-12-01 7:55
43,160,piso,lista,2021-06-30 5:26
27,661,piso,en curso,2020-01-21 1:11
56,99,piso,en curso,2020-11-23 7:28
64,849,piso,lista,2021-09-18 3:17
52,873,domicilio,lista,2020-01-20 9:55
45,685,domicilio,en curso,2020-12-09 7:43
6,394,piso,lista,2019-06-16 12:51
85,530,domicilio,lista,2019-10-03 3:25
62,160,piso,lista,2020-03-22 10:13
5,232,piso,lista,2019-12-27 12:59
90,851,domicilio,en curso,2020-07-30 3:36
56,601,piso,en curso,2021-03-14 6:27
84,622,piso,lista,2021-03-16 6:46
46,694,domicilio,lista,2019-06-08 9:09
58,481,piso,en curso,2021-01-11 12:42
8,177,piso,en curso,2020-04-18 12:00
21,740,piso,en curso,2020-01-05 3:29
76,406,piso,lista,2021-12-23 7:05
2,190,domicilio,lista,2019-07-06 4:39
1,641,domicilio,lista,2020-10-08 4:30
11,186,piso,en curso,2021-10-02 8:01
25,312,piso,en curso,2019-03-06 8:42
79,696,piso,en curso,2021-01-17 5:13
45,690,domicilio,lista,2020-01-12 9:40
2,104,domicilio,lista,2020-06-27 10:38
72,684,piso,en curso,2020-11-21 7:31
96,629,domicilio,lista,2019-09-02 12:14
41,327,piso,lista,2020-06-22 1:12
69,614,piso,lista,2019-05-22 5:53
46,249,piso,lista,2021-05-08 10:38
4,378,piso,lista,2021-10-16 12:04
2,553,piso,en curso,2021-02-20 5:46
22,771,piso,en curso,2019-09-10 10:20
54,39,domicilio,en curso,2020-04-23 7:19
23,907,domicilio,en curso,2021-03-11 8:17
41,631,domicilio,en curso,2020-05-25 2:02
69,346,domicilio,lista,2020-11-28 2:07
86,749,piso,lista,2020-09-19 3:16
66,165,domicilio,lista,2019-04-18 1:01
10,112,domicilio,lista,2019-12-17 5:30
31,441,domicilio,lista,2021-12-23 4:52
83,993,domicilio,lista,2020-10-09 7:51
80,555,piso,lista,2019-04-23 11:34
65,435,piso,en curso,2020-03-20 3:50
95,768,piso,en curso,2021-06-12 10:22
76,247,domicilio,en curso,2020-06-06 2:43
24,170,domicilio,lista,2019-07-05 8:58
22,439,domicilio,lista,2020-11-20 3:00
65,673,domicilio,lista,2019-12-24 6:27
42,403,piso,lista,2019-06-17 11:18
74,281,piso,lista,2020-08-26 2:06
23,880,piso,en curso,2020-06-27 12:02
12,50,piso,lista,2020-06-17 10:54
22,477,domicilio,lista,2019-01-11 7:01
14,822,domicilio,lista,2019-02-09 10:11
10,279,piso,en curso,2020-04-11 1:06
33,497,piso,lista,2021-12-23 3:00
4,387,domicilio,lista,2019-09-19 7:22
71,333,piso,lista,2020-04-24 9:22
68,133,domicilio,en curso,2020-01-16 2:27
51,432,piso,lista,2020-08-17 3:47
62,207,domicilio,en curso,2019-09-27 5:19
67,760,domicilio,lista,2020-07-10 7:11
15,58,piso,lista,2020-01-31 12:23
47,639,piso,lista,2019-11-24 9:11
26,761,piso,en curso,2020-11-27 10:56
33,558,domicilio,en curso,2019-12-08 2:46
96,561,domicilio,en curso,2021-11-06 4:49
52,31,piso,en curso,2019-02-03 9:43
78,808,piso,lista,2020-11-18 6:36
51,235,piso,lista,2019-06-03 7:08
80,967,piso,en curso,2020-11-06 12:02
66,924,piso,lista,2019-03-29 7:03
90,241,piso,lista,2021-03-27 11:14
30,831,piso,en curso,2020-06-27 10:32
77,458,domicilio,en curso,2021-04-16 2:30
68,455,domicilio,lista,2020-12-18 12:07
57,688,domicilio,lista,2021-01-03 10:51
63,593,piso,lista,2020-03-19 10:29
33,361,domicilio,lista,2021-06-08 2:58
49,11,piso,lista,2021-09-04 4:25
7,381,domicilio,en curso,2020-08-07 6:46
3,386,domicilio,lista,2020-12-08 12:08
52,967,domicilio,lista,2019-03-01 10:49
5,83,piso,lista,2019-01-25 1:23
32,9,domicilio,en curso,2020-10-25 6:18
27,935,domicilio,lista,2021-08-01 12:11
68,302,piso,en curso,2019-03-26 10:18
87,952,domicilio,en curso,2019-08-17 12:24
19,202,piso,en curso,2020-05-30 10:48
2,70,piso,en curso,2019-01-15 2:17
81,106,piso,en curso,2021-03-20 6:01
28,32,domicilio,lista,2019-09-16 10:02
78,738,domicilio,en curso,2019-02-10 2:17
71,463,piso,en curso,2019-05-23 3:01
6,200,domicilio,lista,2019-04-19 9:16
34,345,piso,lista,2020-06-06 3:17
30,434,domicilio,lista,2021-10-13 4:57
44,909,piso,en curso,2019-08-10 4:35
30,583,domicilio,lista,2020-07-11 8:29
74,462,domicilio,en curso,2020-04-06 5:04
60,640,domicilio,en curso,2020-10-26 3:03
36,592,piso,en curso,2020-10-18 6:51
53,233,domicilio,lista,2021-09-21 12:01
70,115,piso,lista,2019-10-20 7:12
79,519,piso,lista,2021-08-13 7:08
36,361,domicilio,lista,2019-08-20 6:20
7,45,domicilio,en curso,2019-04-26 5:00
61,732,domicilio,en curso,2021-09-22 9:12
21,334,domicilio,en curso,2020-03-09 12:57
32,561,piso,en curso,2019-12-27 12:21
28,745,piso,en curso,2021-05-19 8:47
37,677,piso,lista,2021-04-07 1:13
4,889,piso,en curso,2020-09-01 1:50
91,62,piso,lista,2020-07-20 2:21
62,484,piso,lista,2021-03-22 1:48
97,269,piso,en curso,2020-06-18 6:45
13,713,domicilio,en curso,2021-04-08 7:27
29,411,domicilio,en curso,2021-04-29 12:37
21,949,piso,en curso,2019-01-14 6:24
48,400,piso,en curso,2021-10-02 3:12
76,52,piso,en curso,2019-10-24 3:34
82,336,piso,en curso,2021-11-23 5:30
76,796,piso,lista,2020-05-21 5:59
70,720,domicilio,lista,2020-05-01 10:29
34,501,domicilio,en curso,2020-07-14 9:32
49,282,piso,en curso,2019-05-06 7:01
58,654,domicilio,en curso,2020-05-09 6:28
76,290,domicilio,en curso,2019-05-30 3:18
31,34,piso,lista,2020-02-22 9:24
94,350,piso,en curso,2020-04-12 7:04
44,228,piso,lista,2021-05-15 8:53
26,414,piso,en curso,2020-05-24 12:41
16,26,piso,lista,2020-06-23 1:20
76,639,domicilio,lista,2020-11-08 9:52
8,773,piso,en curso,2021-06-22 7:38
94,250,piso,lista,2021-08-28 6:18
96,863,piso,lista,2020-06-15 8:23
88,844,piso,en curso,2021-05-13 11:58
61,888,domicilio,en curso,2020-08-08 6:32
72,873,domicilio,lista,2020-11-18 5:12
74,798,domicilio,en curso,2019-08-06 7:53
97,298,domicilio,en curso,2021-01-19 2:12
84,346,piso,lista,2019-01-09 5:08
32,579,domicilio,en curso,2020-07-12 2:42
35,773,piso,en curso,2019-08-09 6:35
53,186,piso,lista,2020-08-04 9:27
44,627,piso,en curso,2020-06-13 8:00
35,105,piso,en curso,2020-04-26 3:57
8,450,piso,en curso,2020-12-29 5:21
89,293,piso,en curso,2021-10-27 2:25
69,625,piso,en curso,2020-07-05 7:02
15,30,domicilio,en curso,2019-09-09 7:44
48,421,piso,en curso,2020-07-20 12:14
14,322,piso,en curso,2021-08-01 10:52
11,407,domicilio,en curso,2019-08-11 8:29
12,415,piso,lista,2020-02-22 9:04
9,751,domicilio,lista,2020-03-13 9:42
61,792,domicilio,en curso,2020-11-28 11:43
7,865,domicilio,en curso,2021-08-18 1:54
27,938,domicilio,en curso,2019-04-28 9:14
84,312,piso,lista,2021-08-06 2:20
56,127,piso,lista,2021-11-18 7:38
74,866,domicilio,en curso,2021-11-10 7:38
29,459,piso,en curso,2020-08-25 11:56
96,511,domicilio,en curso,2021-04-11 3:27
80,760,domicilio,en curso,2020-11-17 10:21
10,401,domicilio,lista,2020-03-17 10:28
19,958,domicilio,lista,2020-01-03 4:37
16,492,domicilio,lista,2020-03-21 3:20
84,666,domicilio,en curso,2021-02-06 9:07
85,69,piso,lista,2019-08-03 10:25
73,307,piso,en curso,2021-02-06 9:24
72,119,domicilio,en curso,2019-06-24 3:10
64,471,domicilio,en curso,2021-01-04 8:09
67,325,domicilio,en curso,2020-04-15 9:54
22,705,domicilio,en curso,2019-08-09 12:13
54,586,domicilio,en curso,2020-11-26 8:41
52,777,piso,en curso,2021-11-14 8:21
12,496,piso,en curso,2019-04-26 10:47
12,177,domicilio,lista,2021-06-07 9:19
23,557,piso,lista,2021-07-15 8:44
68,21,domicilio,lista,2020-01-11 9:51
59,197,piso,lista,2020-10-25 9:00
91,298,piso,lista,2021-02-10 3:00
89,696,piso,lista,2021-04-27 7:38
33,900,domicilio,lista,2020-02-08 12:12
59,164,piso,en curso,2019-05-17 12:59
74,119,piso,lista,2020-07-28 9:43
30,274,piso,en curso,2021-06-21 4:29
35,1000,domicilio,en curso,2019-12-09 3:22
39,585,domicilio,en curso,2020-04-23 6:01
49,455,domicilio,en curso,2019-10-13 3:56
50,189,piso,en curso,2019-03-10 2:35
32,362,piso,lista,2020-03-28 2:22
83,417,piso,en curso,2021-09-03 10:00
30,149,domicilio,en curso,2020-12-23 5:09
38,891,piso,lista,2020-09-30 10:22
49,440,domicilio,lista,2020-08-25 10:59
30,130,piso,lista,2020-11-24 1:43
69,86,domicilio,lista,2021-07-30 2:15
33,500,domicilio,lista,2021-08-06 4:56
63,452,domicilio,lista,2020-07-06 9:40
54,628,domicilio,en curso,2019-04-21 3:51
30,899,piso,en curso,2020-04-24 4:15
50,91,piso,en curso,2020-11-25 3:58
66,916,piso,lista,2020-06-03 10:18
32,618,piso,lista,2020-10-16 4:56
23,667,domicilio,en curso,2021-05-20 8:29
75,340,piso,lista,2019-08-23 3:20
55,474,domicilio,en curso,2021-06-01 12:18
66,535,domicilio,lista,2021-07-18 2:28
35,664,piso,lista,2021-08-24 5:37
77,856,piso,lista,2020-04-07 4:51
29,918,piso,lista,2020-04-06 12:53
74,591,piso,en curso,2019-03-10 5:49
25,438,piso,lista,2020-01-19 12:43
93,382,domicilio,lista,2019-01-03 12:06
19,910,domicilio,lista,2019-11-29 7:14
16,867,domicilio,lista,2021-02-05 8:51
7,492,domicilio,en curso,2021-07-09 1:41
100,555,domicilio,en curso,2020-12-26 8:05
17,608,piso,lista,2020-03-12 3:25
41,620,domicilio,lista,2021-10-06 7:45
43,597,domicilio,en curso,2021-08-12 9:38
84,644,domicilio,lista,2020-07-15 3:34
24,111,domicilio,lista,2020-01-10 8:46
99,732,piso,lista,2019-11-07 12:24
14,797,piso,lista,2020-04-07 8:09
7,676,piso,lista,2019-01-01 2:10
96,965,piso,en curso,2019-02-12 4:09
77,917,domicilio,en curso,2020-07-03 8:56
100,655,piso,lista,2019-03-27 2:18
79,232,domicilio,lista,2019-03-29 9:15
32,706,domicilio,lista,2021-03-21 12:01
84,892,domicilio,lista,2021-10-19 9:06
48,89,piso,en curso,2020-06-23 2:34
19,473,piso,lista,2021-08-24 5:06
13,606,piso,en curso,2021-12-14 10:10
19,765,domicilio,lista,2020-11-20 8:21
35,736,domicilio,en curso,2020-05-18 12:13
78,717,domicilio,en curso,2021-07-18 12:46
40,759,domicilio,en curso,2019-02-12 3:05
10,667,piso,en curso,2021-04-28 12:45
93,581,domicilio,en curso,2020-12-02 1:56
68,935,piso,en curso,2020-05-09 12:15
32,771,piso,en curso,2020-10-07 3:03
51,246,piso,lista,2020-04-10 12:21
34,533,domicilio,lista,2021-08-08 2:02
48,354,domicilio,lista,2019-12-09 12:49
1,728,piso,en curso,2019-08-23 8:02
71,434,domicilio,en curso,2020-05-08 3:56
16,542,domicilio,en curso,2019-09-10 5:33
70,220,domicilio,en curso,2020-10-13 10:58
92,890,domicilio,lista,2019-04-11 7:24
81,355,piso,lista,2021-01-12 9:51
5,282,domicilio,en curso,2021-09-30 5:21
20,107,domicilio,en curso,2020-05-04 2:03
82,510,piso,en curso,2020-03-02 2:19
4,388,piso,en curso,2020-08-21 4:52
3,814,domicilio,en curso,2021-06-05 8:01
57,946,piso,en curso,2020-09-27 5:30
84,229,piso,en curso,2020-05-11 12:20
83,145,piso,lista,2021-11-03 8:32
34,872,domicilio,lista,2021-06-11 7:10
27,232,domicilio,lista,2019-09-05 8:29
25,467,domicilio,en curso,2020-03-04 1:08
58,433,domicilio,lista,2020-08-31 7:40
10,945,domicilio,lista,2021-12-30 5:49
35,709,domicilio,en curso,2019-01-01 9:54
78,775,piso,lista,2020-10-12 2:01
37,471,piso,lista,2019-11-21 11:01
92,512,domicilio,en curso,2021-02-11 3:00
99,169,domicilio,en curso,2020-11-29 12:51
9,329,piso,en curso,2020-07-16 1:55
62,362,piso,en curso,2020-02-03 11:08
37,562,domicilio,lista,2020-06-06 3:10
17,220,domicilio,lista,2019-03-18 2:59
1,665,domicilio,lista,2019-12-17 1:19
96,828,domicilio,en curso,2019-11-12 3:55
29,630,domicilio,lista,2021-05-12 2:08
80,146,piso,en curso,2020-09-23 9:18
11,702,domicilio,lista,2020-09-23 1:19
96,368,piso,en curso,2021-11-27 5:15
93,317,domicilio,en curso,2019-09-08 3:28
71,480,domicilio,lista,2021-06-30 2:04
73,820,domicilio,lista,2021-08-05 5:20
82,672,piso,en curso,2020-04-07 5:41
54,951,piso,en curso,2019-12-25 3:04
55,626,piso,lista,2020-11-06 1:44
25,966,domicilio,lista,2021-03-17 5:13
10,199,domicilio,en curso,2021-07-26 7:29
90,439,domicilio,en curso,2020-04-29 6:06
41,409,domicilio,lista,2019-03-11 7:00
37,390,piso,lista,2020-09-27 9:22
10,677,domicilio,lista,2019-06-30 2:25
26,821,piso,en curso,2019-10-06 7:54
